CMDLINE /home/niki/PycharmProjects/progetto-metodi_del_calcolo_scientifico/venv/bin/python main.py -p matrix/spa1.mtx -m jacobi -t 1e-10 -tm -v
MEM 0.648438 1746891370.0330
MEM 32.558594 1746891370.1353
MEM 50.003906 1746891370.2383
MEM 68.199219 1746891370.3387
MEM 86.535156 1746891370.4391
MEM 94.562500 1746891370.5395
MEM 104.140625 1746891370.6399
MEM 122.757812 1746891370.7428
MEM 142.562500 1746891370.8435
MEM 150.257812 1746891370.9440
MEM 180.929688 1746891371.0474
MEM 186.179688 1746891371.1476
MEM 200.753906 1746891371.2485
MEM 200.753906 1746891371.3489
MEM 200.753906 1746891371.4492
MEM 200.753906 1746891371.5495
MEM 171.406250 1746891371.6529
MEM 171.406250 1746891371.7532
